item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
Pancake Mix,Pineapple,Radishes,Asparagus,Watermelon,nan,Water,Sour Cream,Pickles,Lemon,Cereal
nan,Peaches,Pickles,Peanut Butter,Salt,Sour Cream,Milk,Bell Pepper,Barley,Watermelon,Ketchup
Brown Sugar,Pineapple,Strawberries,Quinoa,Frozen Vegetables,Maple Syrup,Half and Half,Whipped Cream,Rice,Canned Soup,Honey
Carrot,Mushrooms,Peanut Butter,Grapes,Peaches,Yeast,Carrot,Canned Tuna,Eggplant,Cookies,Frozen Fish
Flour,Cottage Cheese,Garlic,Whipped Cream,Ice Cream,Ice Cream,Apple,Brown Sugar,Ketchup,Maple Syrup,Flax Seeds
Strawberries,Yogurt,Orange,Vinegar,Potato,Spinach,Ice Cream,Nectarines,Frozen Vegetables,Milk,Apple
Lettuce,Plums,Frozen Fruits,Bell Pepper,Radishes,Spaghetti Sauce,Kale,Sugar,Radishes,Mangoes,Flour
Strawberries,Crackers,Fish,Cantaloupe,Apple,Jam,Vinegar,Frozen Dinners,Breadcrumbs,Water,Green Beans
Pepper,Watermelon,Orange,Orange,Asparagus,Fish,Tomato,nan,Jam,Potato,Flax Seeds
Flax Seeds,Butter,Ice Cream,Spaghetti Sauce,Coffee,Frozen Vegetables,Milk,Corn,Mayonnaise,nan,Lentils
Fish,Onion,Frozen Pizza,nan,Strawberries,Maple Syrup,Baking Soda,Cottage Cheese,Zucchini,Powdered Sugar,Hot Sauce
Cookies,Coconut Milk,nan,Nuts,Apple,Peanut Butter,Farro,Cheese,Mayonnaise,Coconut Milk,Avocado
nan,Butter Milk,Jam,nan,Sour Cream,Flour,nan,Cucumber,nan,Kale,Canned Tomatoes
Broccoli,Oats,nan,nan,Vinegar,Frozen Pizza,Mangoes,Olive Oil,Cornstarch,Salt,Tomato
Half and Half,Blackberries,Apple,Vinegar,Plums,Strawberries,Soy Milk,Plums,Cauliflower,Soy Milk,Soy Milk
Butter Milk,Plums,Heavy Cream,Olive Oil,Frozen Shrimp,Pickles,Waffles,Bread,Butter,Fish,Mayonnaise
Couscous,Juice,Powdered Sugar,Mustard,Coconut Milk,Lime,Fish,Watermelon,Nuts,Cereal,Asparagus
Grapes,Sour Cream,Hot Sauce,Soy Milk,Milk,Mangoes,Onion,Frozen Fruits,Kale,Cookies,Ice Cream
Rice,Half and Half,Almond Milk,Beans,Lemon,Peaches,Broccoli,Bell Pepper,Heavy Cream,Honeydew,Sugar
Celery,Coffee,Farro,Ice Cream,Salt,Broccoli,Lentils,Mangoes,Kale,Tomato,Blueberries
Cheese,nan,Hot Sauce,Chocolate,Bread,nan,Olive Oil,Cantaloupe,Mustard,Cheese,Peanut Butter
Cucumber,Green Beans,Powdered Sugar,Blueberries,Sugar,Half and Half,Garlic,Watermelon,nan,Nuts,Spinach
Canned Soup,Pancake Mix,Zucchini,Yeast,Baking Soda,Pears,Peanut Butter,Cantaloupe,Pickles,Sour Cream,Ketchup
Sugar,Almond Milk,Garlic,Coffee,Watermelon,Baking Soda,Chips,Tomato,Breadcrumbs,Salsa,Honeydew
Canned Tomatoes,Yogurt,Plums,Zucchini,Yogurt,Brown Sugar,Honeydew,Kale,Canned Beans,Cucumber,Broccoli
Carrot,nan,Frozen Shrimp,Carrot,nan,Crackers,Strawberries,nan,Cucumber,Pasta,nan
Yogurt,Spaghetti Sauce,Frozen Pizza,Pepper,Onion,Heavy Cream,Pancake Mix,Flax Seeds,Powdered Sugar,Cornstarch,Crackers
nan,Bread,Broccoli,Quinoa,Sugar,Breadcrumbs,Almond Milk,Eggs,Relish,Banana,Blueberries
Celery,Onion,Nuts,nan,nan,Frozen Dinners,Chicken,Frozen Fruits,nan,Fish,Frozen Dinners
Soy Sauce,nan,Banana,Lentils,Mangoes,Asparagus,Yeast,Lime,Butter,Whipped Cream,Juice
Canned Tomatoes,Peaches,Mushrooms,Bell Pepper,Blackberries,Whipped Cream,Barley,Canned Tomatoes,nan,Bread,Pasta
Frozen Fish,Yeast,Mushrooms,Cheese,Blackberries,Mangoes,Raspberries,Brown Sugar,nan,Banana,Bread
nan,nan,Lime,nan,Soy Sauce,Lemon,Brown Sugar,Milk,Peanut Butter,Brown Sugar,Cucumber
Barley,Cheese,nan,Honey,Cookies,nan,Butter,Whipped Cream,Cauliflower,Potato,Powdered Sugar
nan,Canned Beans,Whipped Cream,Frozen Dinners,Strawberries,Frozen Fish,Fish,Grapes,nan,Potato,nan
Cereal,Pasta,Chocolate,nan,Mushrooms,Flax Seeds,nan,Cauliflower,Spinach,Cottage Cheese,Kale
Beans,nan,Butter Milk,Soda,Plums,nan,Yeast,Olive Oil,Radishes,Pancake Mix,Powdered Sugar
nan,Cottage Cheese,Couscous,Spaghetti Sauce,Baking Powder,nan,Cereal,Vinegar,Peaches,Pickles,Banana
Soda,Pancake Mix,Jam,Flour,Chicken,Zucchini,Whipped Cream,Spaghetti Sauce,Chicken,Grapes,Honey
Frozen Fish,Quinoa,Flour,Cookies,Carrot,Cottage Cheese,Butter,Honeydew,Chili Pepper,Mushrooms,Spaghetti Sauce
Salt,nan,Frozen Fish,Mustard,Cornstarch,Zucchini,Heavy Cream,Soy Sauce,Bell Pepper,nan,Cucumber
Carrot,Beef,Cantaloupe,Sugar,Honeydew,Chips,Watermelon,Onion,Blackberries,Brussels Sprouts,Carrot
Cucumber,Lime,Pears,Nuts,Honey,Frozen Vegetables,Flour,Canned Soup,Soy Sauce,Powdered Sugar,Olive Oil
Peanut Butter,Farro,Beans,Farro,Frozen Vegetables,Brussels Sprouts,Butter Milk,Butter Milk,Mustard,Baking Powder,Zucchini
Pasta,Raspberries,Frozen Fruits,nan,Peaches,Chili Pepper,Nectarines,Vinegar,Cucumber,Couscous,Pickles
Tomato,Olive Oil,Half and Half,Peaches,Soy Sauce,nan,Cereal,Maple Syrup,Mangoes,nan,Soy Milk
Frozen Vegetables,nan,Cornstarch,Pancake Mix,Baking Powder,Plums,Canned Soup,Jam,Mangoes,Waffles,Canned Tuna
Couscous,Canned Tomatoes,Eggs,Jam,Soda,Mushrooms,Brussels Sprouts,Yogurt,Asparagus,Beef,Ice Cream
Chili Pepper,nan,nan,Pepper,Yogurt,Olive Oil,Honey,nan,Canned Tuna,Grapes,Blackberries
Apple,nan,Pancake Mix,nan,Lemon,Juice,Apple,Chia Seeds,Salsa,Barley,Chia Seeds
Flour,nan,Peaches,Juice,Couscous,Heavy Cream,Peas,Canned Tomatoes,nan,Baking Powder,Cereal
Soy Milk,Sour Cream,Chia Seeds,Carrot,Frozen Vegetables,Sour Cream,Vinegar,Sugar,Jam,Frozen Pizza,Flour
