Level,Salary
Senior,90860
Mid,81964
Lead,142118
Junior,66850
Mid,84423
Lead,131363
Mid,71685
Lead,120769
Senior,113333
Junior,55311
Senior,96420
Entry,49769
Lead,149419
Entry,38666
Mid,88942
Junior,68431
Senior,92747
Mid,71899
Senior,107912
Mid,73556
Mid,78838
Lead,147464
Junior,60627
Entry,40555
Junior,60233
Entry,32612
Junior,65787
Lead,137159
Mid,84541
Entry,31585
Senior,109457
Junior,57989
Lead,132990
Junior,56873
Senior,90161
Junior,50995
Senior,91016
Lead,143247
Lead,128529
Lead,141271
Junior,56331
Senior,115068
Entry,35276
Lead,136448
Entry,38006
Entry,32027
Mid,76736
Mid,82666
Lead,123561
Junior,56184
Senior,112662
Entry,43067
Junior,69488
Lead,139115
Mid,79762
Entry,44948
Mid,87412
Junior,50502
Mid,70206
Junior,67868
Mid,85934
Entry,38755
Lead,132383
Senior,108141
Lead,127574
Lead,121678
Mid,71059
Lead,149855
Mid,89541
Senior,100817
Junior,59789
Entry,41252
Senior,119723
Senior,93627
Senior,106157
Mid,88047
Junior,60230
Senior,111976
Entry,31306
Entry,39474
Mid,73748
Entry,43545
Senior,90663
Mid,87879
Entry,48237
Entry,36585
Senior,107675
Junior,51636
Entry,47082
Entry,34737
Senior,103877
Lead,125855
Entry,43949
Junior,68091
Junior,55791
Senior,109894
Mid,81447
Mid,82688
Lead,139315
Junior,50197
Mid,81774
Entry,39339
Mid,81589
Lead,146370
Senior,92811
Mid,84243
Mid,71986
Mid,81411
Senior,98680
Entry,48343
Junior,61111
Entry,31802
Senior,98120
Entry,44257
Junior,66646
Senior,112671
Junior,59208
Senior,101835
Entry,32049
Entry,35423
Senior,110932
Lead,149855
Mid,77158
Entry,37400
Mid,79874
Mid,74499
Entry,42183
Senior,102874
Entry,35539
Senior,114829
Mid,72557
Entry,46482
Entry,44172
Junior,64207
Junior,61969
Mid,87340
Entry,35699
Entry,33987
Mid,74735
Entry,34555
Mid,78050
Lead,128754
Mid,86609
Lead,141277
