CGPA,Package
6.87,12.87
9.75,17.87
8.66,14.52
7.99,16.84
5.78,11.42
5.78,13.67
5.29,8.1
9.33,20.0
8.01,18.13
8.54,19.3
5.1,12.17
9.85,21.96
9.16,22.24
6.06,11.11
5.91,11.84
5.92,8.96
6.52,9.83
7.62,13.26
7.16,11.46
6.46,11.37
8.06,13.52
5.7,8.71
6.46,15.56
6.83,10.3
7.28,16.28
8.93,14.75
6.0,14.47
7.57,18.11
7.96,17.15
5.23,11.36
8.04,12.1
5.85,14.54
5.33,12.67
9.74,23.33
9.83,21.23
9.04,16.68
6.52,15.61
5.49,9.84
8.42,17.37
7.2,11.52
5.61,13.59
7.48,12.27
5.17,8.92
9.55,19.66
6.29,14.24
8.31,17.61
6.56,11.36
7.6,11.41
7.73,17.45
5.92,14.71
9.85,22.75
8.88,17.41
9.7,23.32
9.47,18.09
7.99,16.18
9.61,19.0
5.44,10.6
5.98,13.61
5.23,10.6
6.63,12.04
6.94,12.2
6.36,9.78
9.14,19.04
6.78,11.73
6.4,10.55
7.71,16.61
5.7,12.43
9.01,20.29
5.37,10.76
9.93,23.77
8.86,21.59
5.99,13.82
5.03,10.74
9.08,16.38
8.53,21.18
8.65,15.35
8.86,15.09
5.37,10.43
6.79,10.57
5.58,13.83
9.32,19.46
8.12,16.7
6.65,14.34
5.32,10.62
6.55,10.04
6.63,14.0
8.65,19.17
8.19,15.7
9.44,21.31
7.36,12.71
5.6,9.64
8.57,14.24
8.8,16.47
7.81,18.33
8.85,20.6
7.47,14.06
7.61,15.9
7.14,15.86
5.13,8.93
5.54,9.24
5.16,12.76
8.18,17.32
6.57,16.3
7.54,13.86
9.54,21.02
6.25,10.77
7.05,12.42
8.78,17.66
6.14,11.17
5.38,8.97
6.45,11.37
5.81,8.92
9.65,21.27
9.04,18.01
8.17,13.02
9.36,15.65
9.02,14.45
5.93,12.53
9.46,15.08
7.7,17.36
9.04,13.75
9.48,16.58
6.59,15.75
5.55,12.31
6.14,9.66
7.14,16.57
9.09,18.12
9.3,21.83
5.03,10.57
7.55,16.47
7.09,17.68
6.11,10.58
5.6,11.89
6.69,13.11
9.71,14.95
6.62,10.03
7.59,12.29
8.52,18.31
6.82,14.1
9.86,20.25
9.81,15.03
6.26,12.33
7.49,18.16
6.5,12.33
6.42,13.64
5.18,11.81
8.05,18.39
7.51,15.16
5.26,12.4
6.39,12.09
9.54,22.79
6.2,10.79
5.72,10.18
7.45,11.57
9.93,22.8
6.21,11.9
8.36,14.46
8.81,15.26
6.19,14.86
8.64,20.17
6.84,14.05
8.16,17.27
8.17,16.13
7.68,14.53
5.45,13.16
9.18,14.92
6.6,12.66
